beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id
"Winter Madness","3 Stars Brewing Company","Winter Warmer",12.4,0,,,,,,,,4,"2012-11-24 23:11:21",https://untappd.com/c/16818558,https://untappd.com/beer/77168,https://untappd.com/brewery/12185,"United States",Washington,DC,,,,16818558,77168,12185
"Victory at Sea","Ballast Point Brewing Company","Porter - Imperial / Double",10,60,,,,,,,,4,"2012-11-25 00:11:31",https://untappd.com/c/16824136,https://untappd.com/beer/6687,https://untappd.com/brewery/68,"United States","San Diego",CA,,,,16824136,6687,68
"Soft DK","Evil Twin Brewing","Stout - American Imperial / Double",10.4,65,,,,,,,,,"2012-12-01 15:44:23",https://untappd.com/c/17144904,https://untappd.com/beer/46865,https://untappd.com/brewery/3735,"United States",Brooklyn,NY,,,,17144904,46865,3735
"Lukie Monster","Oliver Brewing Co.","Brown Ale - American",5.6,0,,,,,,,,,"2012-12-02 20:08:48",https://untappd.com/c/17264548,https://untappd.com/beer/245446,https://untappd.com/brewery/10239,"United States",Baltimore,MD,,,,17264548,245446,10239
"Racer X®","Bear Republic Brewing Co.","IPA - Imperial / Double",8.3,100,,,,,,,,4,"2012-12-06 18:32:59",https://untappd.com/c/17417769,https://untappd.com/beer/2034,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,,17417769,2034,94
"Naughty Goose","Goose Island Beer Co.","Brown Ale - English",5.7,0,,,,,,,,3,"2012-12-06 18:54:31",https://untappd.com/c/17419511,https://untappd.com/beer/10213,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,17419511,10213,2898
"Old Man Winter Ale","Southern Tier Brewing Company","Winter Ale",7.5,57,,,,,,,,3,"2012-12-06 19:32:32",https://untappd.com/c/17422986,https://untappd.com/beer/11430,https://untappd.com/brewery/4586,"United States",Lakewood,NY,,,,17422986,11430,4586
Pietra,"Brasserie Pietra","Lager - Vienna",6,0,,,,,,,,2,"2012-12-06 19:49:22",https://untappd.com/c/17424654,https://untappd.com/beer/12535,https://untappd.com/brewery/199,France,Furiani,Haute-Corse,,,,17424654,12535,199
"Barrel Aged Brrrbon","Widmer Brothers Brewing","Winter Warmer",9.4,0,,,,,,,,,"2012-12-06 20:21:14",https://untappd.com/c/17428279,https://untappd.com/beer/8580,https://untappd.com/brewery/3028,"United States",Portland,OR,,,,17428279,8580,3028
"XV Reserve 15th Anniversary Ale","Brewery Ommegang","Belgian Strong Dark Ale",9.6,0,,,,,,,,5,"2012-12-06 21:56:39",https://untappd.com/c/17439752,https://untappd.com/beer/208468,https://untappd.com/brewery/249,"United States",Cooperstown,NY,,,,17439752,208468,249
"Snow Day","New Belgium Brewing Company","Winter Ale",6.2,40,,,,,,,,2,"2012-12-13 19:40:58",https://untappd.com/c/17840974,https://untappd.com/beer/65937,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,17840974,65937,905
"Marooned on Hog Island","21st Amendment Brewery","Stout - Oyster",7.9,0,,,,,,,,4,"2012-12-13 19:43:36",https://untappd.com/c/17841286,https://untappd.com/beer/271519,https://untappd.com/brewery/4339,"United States","San Francisco",CA,,,,17841286,271519,4339
"Noel de Calabaza","Jolly Pumpkin Artisan Ales","American Wild Ale",9,0,,,,,,,,3,"2012-12-13 20:12:10",https://untappd.com/c/17844231,https://untappd.com/beer/4895,https://untappd.com/brewery/723,"United States",Dexter,MI,,,,17844231,4895,723
"Corsendonk Christmas Ale","Brouwerij Corsendonk","Belgian Strong Dark Ale",8.5,0,,,,,,,,3,"2012-12-13 20:42:10",https://untappd.com/c/17847842,https://untappd.com/beer/1064,https://untappd.com/brewery/246,Belgium,Turnhout,Antwerpen,,,,17847842,1064,246
"Ellie's Brown Ale","Avery Brewing Co.","Brown Ale - American",5.5,28,,,,,,,,3.5,"2012-12-13 22:42:37",https://untappd.com/c/17861191,https://untappd.com/beer/6206,https://untappd.com/brewery/62,"United States",Boulder,CO,,,,17861191,6206,62
"N'Ice Chouffe","Brasserie d'Achouffe","Winter Ale",10,25,,,,,,,,3,"2012-12-13 23:18:04",https://untappd.com/c/17864212,https://untappd.com/beer/7539,https://untappd.com/brewery/11866,Belgium,Achouffe,,,,,17864212,7539,11866
"HogWild IPA","Aviator Brewing Company","IPA - American",6.7,108,,,,,,,,2,"2012-12-15 12:27:57",https://untappd.com/c/17956700,https://untappd.com/beer/9230,https://untappd.com/brewery/1394,"United States","Fuquay Varina",NC,,,,17956700,9230,1394
"Christmas Ale (2012)","Great Lakes Brewing Company","Winter Ale",7.5,0,,,,,,,,4,"2012-12-15 13:08:18",https://untappd.com/c/17958677,https://untappd.com/beer/252977,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,,17958677,252977,3125
"Gonzo Imperial Porter","Flying Dog Brewery","Porter - Imperial / Double",9.2,85,,,,,,,,4,"2012-12-15 13:31:19",https://untappd.com/c/17960014,https://untappd.com/beer/4001,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,17960014,4001,540
"Night Stalker","Goose Island Beer Co.","Stout - American Imperial / Double",11.7,60,,,,,,,,3,"2012-12-15 14:03:56",https://untappd.com/c/17962273,https://untappd.com/beer/5405,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,17962273,5405,2898
ESB,"Schlafly - The Saint Louis Brewery","Extra Special / Strong Bitter",5.8,30,,,,,,,,3,"2012-12-16 14:03:20",https://untappd.com/c/18060281,https://untappd.com/beer/2142,https://untappd.com/brewery/1092,"United States","Saint Louis",MO,,,,18060281,2142,1092
"Winter Solstice","Anderson Valley Brewing Company","Winter Warmer",6.9,5,,,,,,,,4,"2012-12-16 16:28:05",https://untappd.com/c/18070880,https://untappd.com/beer/14814,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,,18070880,14814,3880
"Winter Solstice","Anderson Valley Brewing Company","Winter Warmer",6.9,5,,,,,,,,4,"2012-12-16 17:22:12",https://untappd.com/c/18075371,https://untappd.com/beer/14814,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,,18075371,14814,3880
"Stone 12.12.12 Vertical Epic Ale","Stone Brewing","Belgian Strong Dark Ale",9,50,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2012-12-20 17:46:23",https://untappd.com/c/18258013,https://untappd.com/beer/211371,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,18258013,211371,1204
"Bush de Noël","Brasserie Dubuisson","Belgian Strong Dark Ale",12,21,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-20 18:29:23",https://untappd.com/c/18261594,https://untappd.com/beer/12695,https://untappd.com/brewery/188,Belgium,Pipaix,Hainaut,,,,18261594,12695,188
"Nommo Dubbel","Boulevard Brewing Co.","Belgian Dubbel",8,25,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,,"2012-12-20 19:49:31",https://untappd.com/c/18270016,https://untappd.com/beer/50176,https://untappd.com/brewery/1514,"United States","Kansas City",MO,,,,18270016,50176,1514
"Pandemic Porter","3 Stars Brewing Company","Porter - Imperial / Double",9.6,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2012-12-20 21:03:51",https://untappd.com/c/18279015,https://untappd.com/beer/340365,https://untappd.com/brewery/12185,"United States",Washington,DC,,,,18279015,340365,12185
"Essential Pale Ale®","Port City Brewing","Pale Ale - American",5.5,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-20 22:54:58",https://untappd.com/c/18291944,https://untappd.com/beer/29096,https://untappd.com/brewery/7771,"United States",Alexandria,VA,,,,18291944,29096,7771
"Toasted Lager","Blue Point Brewing Company","Lager - American Amber / Red",5.5,28,,"Acre 121",Washington,D.C.,"United States",38.9287,-77.0335,3,"2012-12-21 18:51:16",https://untappd.com/c/18333140,https://untappd.com/beer/5907,https://untappd.com/brewery/144,"United States",Patchogue,NY,,,,18333140,5907,144
"Arrogant Bastard Ale","Arrogant Brewing","Strong Ale - American",7.2,100,,"Acre 121",Washington,D.C.,"United States",38.9287,-77.0335,3,"2012-12-21 20:26:52",https://untappd.com/c/18346754,https://untappd.com/beer/18099,https://untappd.com/brewery/234399,"United States",Escondido,CA,,,,18346754,18099,234399
"Two Hearted Ale","Bell's Brewery","IPA - American",7,0,,"Acre 121",Washington,D.C.,"United States",38.9287,-77.0335,3,"2012-12-21 21:24:30",https://untappd.com/c/18356129,https://untappd.com/beer/4133,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,,18356129,4133,2507
"Bishop's Breakfast","Oliver Brewing Co.","Stout - Oatmeal",4.4,0,,"Meridian Pint",Washington,D.C.,"United States",38.932,-77.0285,3,"2012-12-21 22:06:31",https://untappd.com/c/18363163,https://untappd.com/beer/18638,https://untappd.com/brewery/10239,"United States",Baltimore,MD,,,,18363163,18638,10239
"Long Strange Tripel","Boulevard Brewing Co.","Belgian Tripel",9.2,23,,"Meridian Pint",Washington,D.C.,"United States",38.932,-77.0285,,"2012-12-21 23:03:52",https://untappd.com/c/18371841,https://untappd.com/beer/15185,https://untappd.com/brewery/1514,"United States","Kansas City",MO,,,,18371841,15185,1514
ESB,"Schlafly - The Saint Louis Brewery","Extra Special / Strong Bitter",5.8,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-23 13:09:14",https://untappd.com/c/18492112,https://untappd.com/beer/2142,https://untappd.com/brewery/1092,"United States","Saint Louis",MO,,,,18492112,2142,1092
"Ovila Dubbel","Sierra Nevada Brewing Co.","Belgian Dubbel",7.5,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-23 13:52:21",https://untappd.com/c/18494977,https://untappd.com/beer/11816,https://untappd.com/brewery/1142,"United States",Chico,CA,,,,18494977,11816,1142
"Brooklyn Brown Ale","Brooklyn Brewery","Brown Ale - American",5.6,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2012-12-23 15:08:45",https://untappd.com/c/18501529,https://untappd.com/beer/3557,https://untappd.com/brewery/259,"United States",Brooklyn,NY,,,,18501529,3557,259
"Southern Belle","3 Stars Brewing Company","Brown Ale - Imperial / Double",8.7,0,,"The Heights",Washington,D.C.,"United States",38.9297,-77.0325,3.5,"2012-12-24 16:39:56",https://untappd.com/c/18590207,https://untappd.com/beer/143385,https://untappd.com/brewery/12185,"United States",Washington,DC,,,,18590207,143385,12185
"Dortmunder Gold","Great Lakes Brewing Company","Lager - Dortmunder / Export",5.8,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-27 17:46:37",https://untappd.com/c/18822159,https://untappd.com/beer/6288,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,,18822159,6288,3125
"Dortmunder Gold","Great Lakes Brewing Company","Lager - Dortmunder / Export",5.8,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-27 18:48:45",https://untappd.com/c/18828611,https://untappd.com/beer/6288,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,,18828611,6288,3125
"Dortmunder Gold","Great Lakes Brewing Company","Lager - Dortmunder / Export",5.8,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-27 18:56:25",https://untappd.com/c/18829519,https://untappd.com/beer/6288,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,,18829519,6288,3125
ESB,"Schlafly - The Saint Louis Brewery","Extra Special / Strong Bitter",5.8,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-30 14:43:59",https://untappd.com/c/19084903,https://untappd.com/beer/2142,https://untappd.com/brewery/1092,"United States","Saint Louis",MO,,,,19084903,2142,1092
"Corsendonk Christmas Ale","Brouwerij Corsendonk","Belgian Strong Dark Ale",8.5,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-30 15:46:29",https://untappd.com/c/19091006,https://untappd.com/beer/1064,https://untappd.com/brewery/246,Belgium,Turnhout,Antwerpen,,,,19091006,1064,246
"Dogzilla Black IPA","Laughing Dog Brewing","IPA - Black / Cascadian Dark Ale",6.9,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,2,"2012-12-30 16:29:45",https://untappd.com/c/19095481,https://untappd.com/beer/7037,https://untappd.com/brewery/775,"United States",Ponderay,ID,,,,19095481,7037,775
Impeachment,"RJ Rockers Brewing Company","Fruit Beer",9.5,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,1,"2012-12-30 17:19:14",https://untappd.com/c/19101238,https://untappd.com/beer/129228,https://untappd.com/brewery/1669,"United States",Spartanburg,SC,,,,19101238,129228,1669
"Santa's Lil' Helper","Hellzocha Brewing","Blonde Ale - Belgian Blonde / Golden",8,0,,,,,,,,4,"2012-12-31 20:22:40",https://untappd.com/c/19211271,https://untappd.com/beer/288247,https://untappd.com/brewery/50221,"United States",Philadelphia,Pa,,,,19211271,288247,50221
URKontinent,"Dogfish Head Craft Brewery","Belgian Dubbel",8.1,0,,,,,,,,3,"2012-12-31 21:20:32",https://untappd.com/c/19224087,https://untappd.com/beer/80822,https://untappd.com/brewery/459,"United States",Milton,DE,,,,19224087,80822,459
"Horny Devil","AleSmith Brewing Company","Belgian Strong Golden Ale",10,25,,,,,,,,3,"2012-12-31 22:48:34",https://untappd.com/c/19244041,https://untappd.com/beer/1221,https://untappd.com/brewery/2471,"United States","San Diego",CA,,,,19244041,1221,2471
"75 Minute IPA","Dogfish Head Craft Brewery","IPA - American",7.5,75,,,,,,,,3,"2013-01-01 00:06:16",https://untappd.com/c/19263114,https://untappd.com/beer/5391,https://untappd.com/brewery/459,"United States",Milton,DE,,,,19263114,5391,459
"Fat Tire","New Belgium Brewing Company","Red Ale - American Amber / Red",5.2,22,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-03 18:29:20",https://untappd.com/c/19407400,https://untappd.com/beer/6887,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,19407400,6887,905
"Matilda (2012)","Goose Island Beer Co.","Pale Ale - Belgian",7,26,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,,"2013-01-03 19:23:18",https://untappd.com/c/19411889,https://untappd.com/beer/137674,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,19411889,137674,2898
"Lagunitas Sucks","Lagunitas Brewing Company","IPA - Imperial / Double",8,63,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,2,"2013-01-03 20:13:26",https://untappd.com/c/19416720,https://untappd.com/beer/285026,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,,19416720,285026,765
"Black Mamba","Aviator Brewing Company","Stout - Oatmeal",6.5,87,,,,,,,,4,"2013-01-08 20:31:31",https://untappd.com/c/19760485,https://untappd.com/beer/84711,https://untappd.com/brewery/1394,"United States","Fuquay Varina",NC,,,,19760485,84711,1394
"HopFish India Pale Ale (IPA)","Flying Fish Brewing Co.","IPA - English",6.2,25,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-10 18:48:45",https://untappd.com/c/19842617,https://untappd.com/beer/3956,https://untappd.com/brewery/541,"United States",Somerdale,NJ,,,,19842617,3956,541
Azrael,"Devils Backbone Brewing Company","Blonde Ale - Belgian Blonde / Golden",7,25,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-10 19:04:35",https://untappd.com/c/19844161,https://untappd.com/beer/54644,https://untappd.com/brewery/4939,"United States",Roseland,VA,,,,19844161,54644,4939
"Devil's Tramping Ground Tripel","Aviator Brewing Company","Belgian Tripel",9.2,31,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,2,"2013-01-10 19:27:20",https://untappd.com/c/19846456,https://untappd.com/beer/9366,https://untappd.com/brewery/1394,"United States","Fuquay Varina",NC,,,,19846456,9366,1394
Balt,"Union Craft Brewing",Altbier,5.6,45,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-10 21:17:32",https://untappd.com/c/19859252,https://untappd.com/beer/188959,https://untappd.com/brewery/22204,"United States",Baltimore,MD,,,,19859252,188959,22204
"Nor Cal Ale™","Bear Republic Brewing Co.","Pale Ale - American",4.5,47,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-12 16:43:01",https://untappd.com/c/19997489,https://untappd.com/beer/23242,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,,19997489,23242,94
"Wild Turkey Bourbon Barrel Stout","Anderson Valley Brewing Company","Stout - Oatmeal",6.9,14,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2013-01-12 16:47:13",https://untappd.com/c/19998145,https://untappd.com/beer/130880,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,,19998145,130880,3880
Balt,"Union Craft Brewing",Altbier,5.6,45,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-12 17:14:11",https://untappd.com/c/20002062,https://untappd.com/beer/188959,https://untappd.com/brewery/22204,"United States",Baltimore,MD,,,,20002062,188959,22204
"Pale Ale","Boulevard Brewing Co.","Pale Ale - American",5.4,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-12 18:37:22",https://untappd.com/c/20015632,https://untappd.com/beer/11354,https://untappd.com/brewery/1514,"United States","Kansas City",MO,,,,20015632,11354,1514
"60 Minute IPA","Dogfish Head Craft Brewery","IPA - American",6,60,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-12 19:35:48",https://untappd.com/c/20026105,https://untappd.com/beer/3952,https://untappd.com/brewery/459,"United States",Milton,DE,,,,20026105,3952,459
"Pale Ale","Boulevard Brewing Co.","Pale Ale - American",5.4,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-12 21:14:25",https://untappd.com/c/20045426,https://untappd.com/beer/11354,https://untappd.com/brewery/1514,"United States","Kansas City",MO,,,,20045426,11354,1514
"India Pale Ale (IPA)","Laughing Dog Brewing","IPA - American",6.4,67,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-16 18:29:52",https://untappd.com/c/20248068,https://untappd.com/beer/15226,https://untappd.com/brewery/775,"United States",Ponderay,ID,,,,20248068,15226,775
"Hennepin Farmhouse Saison","Brewery Ommegang","Saison / Farmhouse Ale",7.7,24,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-16 18:50:44",https://untappd.com/c/20249742,https://untappd.com/beer/402,https://untappd.com/brewery/249,"United States",Cooperstown,NY,,,,20249742,402,249
"Doggie Style","Flying Dog Brewery","Pale Ale - American",5.5,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,2,"2013-01-16 19:13:54",https://untappd.com/c/20251808,https://untappd.com/beer/3775,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,20251808,3775,540
"Nor Cal Ale™","Bear Republic Brewing Co.","Pale Ale - American",4.5,47,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-16 19:47:27",https://untappd.com/c/20255115,https://untappd.com/beer/23242,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,,20255115,23242,94
"Kilt Flasher","Devils Backbone Brewing Company","Scotch Ale / Wee Heavy",8,20,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-17 18:46:50",https://untappd.com/c/20300570,https://untappd.com/beer/19376,https://untappd.com/brewery/4939,"United States",Roseland,VA,,,,20300570,19376,4939
"Nor Cal Ale™","Bear Republic Brewing Co.","Pale Ale - American",4.5,47,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-17 19:15:07",https://untappd.com/c/20303548,https://untappd.com/beer/23242,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,,20303548,23242,94
"Anchor Steam Beer","Anchor Brewing Company","California Common",4.8,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-17 19:22:01",https://untappd.com/c/20304297,https://untappd.com/beer/6204,https://untappd.com/brewery/3891,"United States","San Francisco",CA,,,,20304297,6204,3891
"India Pale Ale (IPA)","Laughing Dog Brewing","IPA - American",6.4,67,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-17 20:28:36",https://untappd.com/c/20312541,https://untappd.com/beer/15226,https://untappd.com/brewery/775,"United States",Ponderay,ID,,,,20312541,15226,775
"Essential Pale Ale®","Port City Brewing","Pale Ale - American",5.5,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-17 22:04:09",https://untappd.com/c/20324840,https://untappd.com/beer/29096,https://untappd.com/brewery/7771,"United States",Alexandria,VA,,,,20324840,29096,7771
"Two Hearted Ale","Bell's Brewery","IPA - American",7,0,,"Bedrock Billiards",Washington,D.C.,"United States",38.9216,-77.0436,3,"2013-01-19 20:11:20",https://untappd.com/c/20502177,https://untappd.com/beer/4133,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,,20502177,4133,2507
Hibernator,"Long Trail Brewing Company","Winter Ale",6,32,"At RFD",,,,,,,3,"2013-01-20 17:49:18",https://untappd.com/c/20597407,https://untappd.com/beer/7227,https://untappd.com/brewery/801,"United States","Bridgewater Corners",VT,,,,20597407,7227,801
"Dogtown Pale Ale","Lagunitas Brewing Company","Pale Ale - American",6.1,47,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-20 18:05:07",https://untappd.com/c/20599445,https://untappd.com/beer/33507,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,,20599445,33507,765
"Doggie Style","Flying Dog Brewery","Pale Ale - American",5.5,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,2,"2013-01-20 18:13:41",https://untappd.com/c/20600657,https://untappd.com/beer/3775,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,20600657,3775,540
"Long Hammer IPA","Redhook Brewery","IPA - American",6.2,44,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-20 18:53:12",https://untappd.com/c/20606865,https://untappd.com/beer/6504,https://untappd.com/brewery/1051,"United States",Seattle,WA,,,,20606865,6504,1051
"Winter's Wolves (American Oak)","Oliver Brewing Co.","Dark Ale",7.4,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-24 18:21:46",https://untappd.com/c/20800611,https://untappd.com/beer/299176,https://untappd.com/brewery/10239,"United States",Baltimore,MD,,,,20800611,299176,10239
"New World Porter","Avery Brewing Co.","Porter - American",6.7,48,,,,,,,,2,"2013-01-24 18:51:14",https://untappd.com/c/20803245,https://untappd.com/beer/10062,https://untappd.com/brewery/62,"United States",Boulder,CO,,,,20803245,10062,62
"Art Of Darkness","Brewery Ommegang","Belgian Strong Dark Ale",8.9,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-24 19:20:13",https://untappd.com/c/20806326,https://untappd.com/beer/126171,https://untappd.com/brewery/249,"United States",Cooperstown,NY,,,,20806326,126171,249
"Big Bear Black Stout™","Bear Republic Brewing Co.","Stout - American Imperial / Double",8.1,55,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-24 20:16:23",https://untappd.com/c/20813194,https://untappd.com/beer/1557,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,,20813194,1557,94
"Mama's Little Yella Pils","Oskar Blues Brewery","Pilsner - Czech",4.7,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,2,"2013-01-24 21:57:41",https://untappd.com/c/20826459,https://untappd.com/beer/5210,https://untappd.com/brewery/956,"United States",Longmont,CO,,,,20826459,5210,956
"Noble Rot","Dogfish Head Craft Brewery","Saison / Farmhouse Ale",9,18,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2013-01-31 18:27:25",https://untappd.com/c/21292464,https://untappd.com/beer/29536,https://untappd.com/brewery/459,"United States",Milton,DE,,,,21292464,29536,459
"Santa Cruz Brown Ale","Epic Brewing Co. (Utah, Colorado)","Brown Ale - American",6.8,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-01-31 18:54:15",https://untappd.com/c/21295110,https://untappd.com/beer/119605,https://untappd.com/brewery/7216,"United States",Denver,CO,,,,21295110,119605,7216
"Oak Barrel Stout","Fordham & Dominion Brewing Co.","Stout - American",5.5,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.75,"2013-01-31 19:20:38",https://untappd.com/c/21298143,https://untappd.com/beer/5607,https://untappd.com/brewery/940,"United States",Dover,DE,,,,21298143,5607,940
"Stone Enjoy By 02.15.13 IPA","Stone Brewing","IPA - Imperial / Double",9.4,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2013-01-31 19:53:04",https://untappd.com/c/21302227,https://untappd.com/beer/285762,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,21302227,285762,1204
"Hopslam Ale","Bell's Brewery","IPA - Imperial / Double",10,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2013-01-31 21:32:34",https://untappd.com/c/21315473,https://untappd.com/beer/4143,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,,21315473,4143,2507
"Light Lager","Yuengling Brewery","Lager - American Light",3.8,10,,,,,,,,2,"2013-02-03 16:07:10",https://untappd.com/c/21586693,https://untappd.com/beer/3813,https://untappd.com/brewery/1976,"United States",Pottsville,PA,,,,21586693,3813,1976
"Traditional Lager","Yuengling Brewery","Lager - American Amber / Red",4.5,16,,,,,,,,2,"2013-02-03 20:32:26",https://untappd.com/c/21650962,https://untappd.com/beer/16649,https://untappd.com/brewery/1976,"United States",Pottsville,PA,,,,21650962,16649,1976
"Traditional Lager","Yuengling Brewery","Lager - American Amber / Red",4.5,16,,,,,,,,2,"2013-02-03 20:32:42",https://untappd.com/c/21651157,https://untappd.com/beer/16649,https://untappd.com/brewery/1976,"United States",Pottsville,PA,,,,21651157,16649,1976
"Hopslam Ale (2013)","Bell's Brewery","IPA - Imperial / Double",10,70,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,5,"2013-02-07 18:24:23",https://untappd.com/c/21854873,https://untappd.com/beer/294759,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,,21854873,294759,2507
"Weeping Willow Wit","Mother Earth Brewing (North Carolina)",Witbier,5,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,2.5,"2013-02-07 18:47:30",https://untappd.com/c/21857222,https://untappd.com/beer/9607,https://untappd.com/brewery/1452,"United States",Kinston,NC,,,,21857222,9607,1452
"Hopslam Ale (2013)","Bell's Brewery","IPA - Imperial / Double",10,70,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,5,"2013-02-07 19:15:42",https://untappd.com/c/21860612,https://untappd.com/beer/294759,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,,21860612,294759,2507
"Essential Pale Ale®","Port City Brewing","Pale Ale - American",5.5,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2013-02-07 19:27:40",https://untappd.com/c/21862104,https://untappd.com/beer/29096,https://untappd.com/brewery/7771,"United States",Alexandria,VA,,,,21862104,29096,7771
