beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id
Whizbang,"New Belgium Brewing Company","Blonde Ale",5.7,45,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.25,"2017-04-18 19:48:14",https://untappd.com/c/441980809,https://untappd.com/beer/1859126,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,Draft,441980809,1859126,905
"Seeking Alpha Triple IPA","Captain Lawrence Brewing Company","IPA - Triple",12,100,,"Majestic Lounge",Alexandria,VA,"United States",38.8241,-77.0586,3.25,"2017-04-22 17:54:05",https://untappd.com/c/443640969,https://untappd.com/beer/514600,https://untappd.com/brewery/341,"United States",Elmsford,NY,,,,443640969,514600,341
"Lil Heaven Session IPA","Two Roads Brewing Company","IPA - Session / India Session Ale",4.8,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2017-07-02 17:41:22",https://untappd.com/c/472898423,https://untappd.com/beer/347859,https://untappd.com/brewery/45815,"United States",Stratford,CT,,,Can,472898423,347859,45815
"Schwartz Bier (DRP Special)","Devils Backbone Brewing Company",Schwarzbier,5.1,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.25,"2017-07-02 18:07:35",https://untappd.com/c/472917212,https://untappd.com/beer/476246,https://untappd.com/brewery/4939,"United States",Roseland,VA,,,Bottle,472917212,476246,4939
"PCT Porter","Crux Fermentation Project","Porter - American",5.5,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.5,"2017-07-02 18:34:52",https://untappd.com/c/472936461,https://untappd.com/beer/1832460,https://untappd.com/brewery/33862,"United States",Bend,OR,,,Can,472936461,1832460,33862
"Black Butte Porter","Deschutes Brewery","Porter - American",5.2,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.75,"2017-07-08 19:49:20",https://untappd.com/c/475707619,https://untappd.com/beer/2025,https://untappd.com/brewery/441,"United States",Bend,OR,,,Bottle,475707619,2025,441
"Oak Barrel Stout","Fordham & Dominion Brewing Co.","Stout - American",5.5,30,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3.25,"2017-07-08 20:14:09",https://untappd.com/c/475730030,https://untappd.com/beer/5607,https://untappd.com/brewery/940,"United States",Dover,DE,,,Bottle,475730030,5607,940
Oktoberfest,"Sly Fox Brewing Company","Lager - Vienna",6.1,25,,"The Light Horse",Alexandria,VA,"United States",38.8052,-77.0476,3.25,"2017-10-08 12:49:35",https://untappd.com/c/513140850,https://untappd.com/beer/9003,https://untappd.com/brewery/3865,"United States",Pottstown,PA,,,,513140850,9003,3865
Entwife,"Second District Brewing","English Mild Ale",3.4,0,,"Second District Brewing",Philadelphia,PA,"United States",39.9263,-75.1732,3.5,"2018-08-25 11:20:37",https://untappd.com/c/643312851,https://untappd.com/beer/1933474,https://untappd.com/brewery/323380,"United States",Philadelphia,PA,,,Draft,643312851,1933474,323380
"Vanilla Huy","Second District Brewing","Stout - Milk / Sweet",6,0,,"Second District Brewing",Philadelphia,PA,"United States",39.9263,-75.1732,4.5,"2018-08-25 11:54:35",https://untappd.com/c/643331050,https://untappd.com/beer/2704920,https://untappd.com/brewery/323380,"United States",Philadelphia,PA,,,Nitro,643331050,2704920,323380
