G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Wed Mar 1 2017,7:30p ET,,Box Score,@,Toronto Raptors,W,,105,96,36,23,W 2,
60,Fri Mar 3 2017,7:00p ET,,Box Score,,Toronto Raptors,L,,106,114,36,24,L 1,
61,Sun Mar 5 2017,5:00p ET,,Box Score,,Orlando Magic,W,,115,114,37,24,W 1,
62,Tue Mar 7 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,131,127,38,24,W 2,
63,Wed Mar 8 2017,9:00p ET,,Box Score,@,Denver Nuggets,W,,123,113,39,24,W 3,
64,Fri Mar 10 2017,10:30p ET,,Box Score,@,Sacramento Kings,W,OT,130,122,40,24,W 4,
65,Sat Mar 11 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,OT,125,124,41,24,W 5,
66,Mon Mar 13 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,104,119,41,25,L 1,
67,Wed Mar 15 2017,7:00p ET,,Box Score,,Dallas Mavericks,L,,107,112,41,26,L 2,
68,Fri Mar 17 2017,7:00p ET,,Box Score,,Chicago Bulls,W,,112,107,42,26,W 1,
69,Sat Mar 18 2017,7:00p ET,,Box Score,@,Charlotte Hornets,L,,93,98,42,27,L 1,
70,Mon Mar 20 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,102,110,42,28,L 2,
71,Wed Mar 22 2017,8:00p ET,,Box Score,,Atlanta Hawks,W,,104,100,43,28,W 1,
72,Fri Mar 24 2017,7:00p ET,,Box Score,,Brooklyn Nets,W,,129,108,44,28,W 2,
73,Sat Mar 25 2017,7:30p ET,,Box Score,@,Cleveland Cavaliers,W,,127,115,45,28,W 3,
74,Tue Mar 28 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,119,108,46,28,W 4,
75,Wed Mar 29 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,124,133,46,29,L 1,
76,Fri Mar 31 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,88,95,46,30,L 2,
77,Sun Apr 2 2017,8:00p ET,,Box Score,@,Golden State Warriors,L,,115,139,46,31,L 3,
78,Tue Apr 4 2017,7:00p ET,,Box Score,,Charlotte Hornets,W,,118,111,47,31,W 1,
79,Thu Apr 6 2017,7:30p ET,,Box Score,@,New York Knicks,W,,106,103,48,31,W 2,
80,Sat Apr 8 2017,7:00p ET,,Box Score,,Miami Heat,L,,103,106,48,32,L 1,
81,Mon Apr 10 2017,8:00p ET,,Box Score,@,Detroit Pistons,W,,105,101,49,32,W 1,
82,Wed Apr 12 2017,8:00p ET,,Box Score,@,Miami Heat,L,,102,110,49,33,L 1,
